#StageNum, TotalCellCount, StemCount, DiffCount, MutantCount
85 9749 4509 5239 0 
86 9749 4507 5242 0 
87 9750 4505 5245 0 
88 9750 4503 5247 0 
89 9751 4499 5251 0 
90 9748 4494 5253 0 
91 9748 4490 5258 0 
92 9748 4487 5260 0 
93 9750 4485 5264 0 
94 9749 4480 5268 0 
95 9747 4477 5270 0 
96 9747 4474 5272 0 
97 9747 4470 5276 0 
98 9746 4469 5277 0 
99 9746 4467 5279 0 
100 9746 4465 5280 0 
101 9748 4463 5284 0 
102 9747 4462 5285 0 
103 9744 4459 5284 0 
104 9744 4456 5288 0 
105 9746 4453 5292 0 
106 9747 4452 5295 0 
107 9747 4448 5298 0 
108 9746 4444 5301 0 
109 9749 4444 5304 0 
110 9747 4440 5306 0 
111 9745 4438 5306 0 
112 9744 4436 5307 0 
113 9743 4433 5310 0 
114 9744 4429 5314 0 
115 9744 4428 5315 0 
116 9742 4424 5317 0 
117 9741 4424 5316 0 
118 9741 4421 5319 0 
119 9743 4420 5322 0 
120 9743 4417 5326 0 
121 9744 4416 5328 0 
122 9746 4414 5331 0 
123 9746 4411 5335 0 
124 9745 4409 5336 0 
125 9745 4406 5339 0 
126 9746 4403 5343 0 
127 9745 4401 5343 0 
128 9743 4398 5344 0 
129 9746 4400 5345 0 
130 9745 4398 5347 0 
131 9745 4395 5349 0 
132 9745 4392 5353 0 
133 9745 4388 5357 0 
134 9744 4386 5358 0 
135 9742 4382 5359 0 
136 9741 4381 5360 0 
137 9743 4380 5363 0 
138 9742 4379 5363 0 
139 9742 4377 5365 0 
140 9743 4374 5369 0 
141 9741 4370 5371 0 
142 9742 4368 5373 0 
143 9740 4367 5373 0 
144 9741 4364 5377 0 
145 9742 4361 5380 0 
146 9743 4359 5383 0 
147 9741 4354 5386 0 
148 9742 4355 5386 0 
149 9741 4353 5388 0 
150 9741 4351 5389 0 
151 9738 4347 5390 0 
152 9740 4344 5395 0 
153 9738 4342 5395 0 
154 9738 4339 5398 0 
155 9740 4338 5401 0 
156 9738 4333 5404 0 
157 9738 4332 5405 0 
158 9737 4330 5407 0 
159 9736 4327 5408 0 
160 9737 4326 5410 0 
161 9736 4324 5412 0 
162 9740 4325 5415 0 
