#StageNum, TotalCellCount, StemCount, DiffCount, MutantCount
528 8095 3278 4817 0 
529 8097 3285 4811 0 
530 8099 3285 4813 0 
531 8103 3293 4809 0 
532 8104 3291 4813 0 
533 8108 3281 4827 0 
534 8109 3290 4819 0 
535 8113 3301 4812 0 
536 8113 3299 4814 0 
537 8115 3296 4818 0 
538 8118 3301 4817 0 
539 8121 3299 4821 0 
540 8124 3300 4823 0 
541 8128 3303 4825 0 
542 8130 3301 4828 0 
543 8132 3301 4830 0 
544 8134 3305 4829 0 
545 8135 3311 4823 0 
546 8141 3316 4824 0 
547 8142 3314 4828 0 
548 8146 3314 4832 0 
549 8149 3313 4835 0 
550 8151 3316 4835 0 
551 8154 3317 4837 0 
552 8156 3317 4839 0 
553 8158 3315 4842 0 
554 8159 3327 4832 0 
555 8163 3332 4830 0 
556 8165 3329 4836 0 
557 8166 3319 4847 0 
558 8168 3315 4852 0 
559 8171 3313 4858 0 
560 8173 3323 4849 0 
561 8175 3327 4848 0 
562 8177 3329 4847 0 
563 8180 3330 4850 0 
564 8181 3331 4850 0 
565 8183 3331 4852 0 
566 8184 3317 4866 0 
567 8186 3321 4865 0 
568 8188 3324 4864 0 
569 8189 3328 4861 0 
570 8191 3334 4856 0 
571 8191 3321 4870 0 
572 8194 3322 4872 0 
573 8194 3325 4869 0 
574 8193 3329 4864 0 
575 8196 3331 4865 0 
576 8199 3336 4862 0 
577 8200 3332 4868 0 
578 8204 3329 4875 0 
579 8207 3339 4867 0 
580 8209 3340 4869 0 
581 8209 3331 4877 0 
582 8209 3343 4866 0 
583 8208 3337 4871 0 
584 8211 3342 4868 0 
585 8211 3339 4872 0 
586 8213 3347 4865 0 
587 8215 3350 4865 0 
588 8218 3346 4872 0 
589 8219 3340 4878 0 
590 8218 3332 4886 0 
591 8219 3324 4894 0 
592 8220 3319 4900 0 
593 8222 3322 4899 0 
594 8223 3328 4895 0 
595 8222 3323 4899 0 
596 8227 3322 4904 0 
597 8225 3317 4907 0 
598 8227 3327 4899 0 
599 8227 3333 4893 0 
600 8228 3331 4896 0 
601 8229 3337 4892 0 
602 8232 3336 4896 0 
603 8235 3341 4893 0 
604 8234 3345 4888 0 
605 8235 3345 4890 0 
606 8237 3348 4888 0 
607 8239 3343 4896 0 
608 8239 3342 4897 0 
609 8240 3337 4903 0 
610 8240 3344 4895 0 
611 8239 3342 4897 0 
612 8239 3347 4891 0 
613 8241 3353 4888 0 
614 8242 3350 4891 0 
615 8243 3342 4901 0 
616 8244 3347 4896 0 
617 8245 3347 4897 0 
618 8244 3348 4896 0 
619 8245 3342 4903 0 
620 8246 3345 4901 0 
621 8246 3340 4906 0 
622 8248 3339 4908 0 
623 8249 3341 4908 0 
624 8251 3336 4914 0 
625 8251 3349 4901 0 
626 8252 3344 4907 0 
627 8252 3340 4911 0 
628 8252 3349 4902 0 
629 8251 3348 4903 0 
630 8255 3347 4907 0 
631 8255 3350 4904 0 
632 8252 3356 4895 0 
633 8252 3347 4905 0 
634 8253 3360 4893 0 
635 8255 3356 4898 0 
636 8255 3346 4908 0 
637 8254 3338 4916 0 
638 8257 3345 4912 0 
639 8256 3350 4906 0 
640 8258 3360 4897 0 
641 8259 3359 4899 0 
642 8257 3351 4906 0 
643 8257 3352 4905 0 
644 8259 3350 4909 0 
645 8262 3359 4902 0 
646 8263 3352 4911 0 
647 8264 3347 4916 0 
648 8264 3353 4910 0 
649 8265 3360 4904 0 
650 8266 3361 4905 0 
651 8267 3365 4901 0 
652 8269 3363 4906 0 
653 8269 3364 4905 0 
654 8268 3360 4908 0 
655 8269 3355 4913 0 
656 8270 3352 4917 0 
657 8271 3357 4913 0 
658 8271 3370 4900 0 
659 8272 3370 4902 0 
660 8273 3372 4901 0 
661 8273 3371 4901 0 
662 8273 3369 4904 0 
663 8272 3362 4910 0 
664 8274 3366 4908 0 
665 8273 3371 4902 0 
666 8273 3369 4903 0 
667 8274 3368 4905 0 
668 8273 3373 4900 0 
669 8272 3369 4903 0 
670 8274 3372 4901 0 
671 8275 3366 4909 0 
672 8278 3368 4910 0 
673 8276 3367 4908 0 
674 8276 3369 4907 0 
675 8278 3364 4913 0 
676 8279 3366 4913 0 
